"FinancialYear","HBR","HBRQF","AgeGroup","Sex","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF"
"1997/98","S92000003","d","0-17 years","Male","Total","d","780"," ","133.93"," ","700"," ","120.19"," "
"1997/98","S92000003","d","0-17 years","Female","Total","d","710"," ","127.25"," ","610"," ","109.33"," "
"1997/98","S92000003","d","18-24 years","Male","Total","d","2020"," ","913.05"," ","1360"," ","614.73"," "
"1997/98","S92000003","d","18-24 years","Female","Total","d","1310"," ","589.16"," ","860"," ","386.78"," "
"1997/98","S92000003","d","25-39 years","Male","Total","d","6450"," ","1123.62"," ","4240"," ","738.63"," "
"1997/98","S92000003","d","25-39 years","Female","Total","d","4900"," ","817.63"," ","3060"," ","510.6"," "
"1997/98","S92000003","d","40-64 years","Male","Total","d","7280"," ","968.46"," ","4930"," ","655.84"," "
"1997/98","S92000003","d","40-64 years","Female","Total","d","5390"," ","686.33"," ","3650"," ","464.77"," "
"1997/98","S92000003","d","65plus years","Male","Total","d","5080"," ","1623.35"," ","3400"," ","1086.49"," "
"1997/98","S92000003","d","65plus years","Female","Total","d","7860"," ","1650.94"," ","5570"," ","1169.94"," "
"1998/99","S92000003","d","0-17 years","Male","Total","d","780"," ","134.98"," ","700"," ","121.13"," "
"1998/99","S92000003","d","0-17 years","Female","Total","d","720"," ","130.22"," ","580"," ","104.9"," "
"1998/99","S92000003","d","18-24 years","Male","Total","d","1900"," ","871.51"," ","1300"," ","596.3"," "
"1998/99","S92000003","d","18-24 years","Female","Total","d","1360"," ","619.8"," ","890"," ","405.6"," "
"1998/99","S92000003","d","25-39 years","Male","Total","d","6520"," ","1151.78"," ","4260"," ","752.54"," "
"1998/99","S92000003","d","25-39 years","Female","Total","d","4900"," ","825.13"," ","3140"," ","528.75"," "
"1998/99","S92000003","d","40-64 years","Male","Total","d","7160"," ","940.53"," ","4880"," ","641.03"," "
"1998/99","S92000003","d","40-64 years","Female","Total","d","5480"," ","689.26"," ","3750"," ","471.67"," "
"1998/99","S92000003","d","65plus years","Male","Total","d","5180"," ","1640.55"," ","3520"," ","1114.82"," "
"1998/99","S92000003","d","65plus years","Female","Total","d","7900"," ","1656.77"," ","5590"," ","1172.32"," "
"1999/00","S92000003","d","0-17 years","Male","Total","d","740"," ","129.34"," ","660"," ","115.36"," "
"1999/00","S92000003","d","0-17 years","Female","Total","d","660"," ","120.6"," ","560"," ","102.33"," "
"1999/00","S92000003","d","18-24 years","Male","Total","d","2120"," ","968.26"," ","1470"," ","671.39"," "
"1999/00","S92000003","d","18-24 years","Female","Total","d","1250"," ","567.91"," ","850"," ","386.18"," "
"1999/00","S92000003","d","25-39 years","Male","Total","d","6580"," ","1184.05"," ","4200"," ","755.78"," "
"1999/00","S92000003","d","25-39 years","Female","Total","d","4480"," ","764.63"," ","2950"," ","503.5"," "
"1999/00","S92000003","d","40-64 years","Male","Total","d","7530"," ","976.14"," ","5030"," ","652.06"," "
"1999/00","S92000003","d","40-64 years","Female","Total","d","5550"," ","689.08"," ","3840"," ","476.77"," "
"1999/00","S92000003","d","65plus years","Male","Total","d","5060"," ","1589.47"," ","3400"," ","1068.02"," "
"1999/00","S92000003","d","65plus years","Female","Total","d","7310"," ","1533.37"," ","5240"," ","1099.16"," "
"2000/01","S92000003","d","0-17 years","Male","Total","d","740"," ","130.52"," ","650"," ","114.64"," "
"2000/01","S92000003","d","0-17 years","Female","Total","d","580"," ","107.2"," ","520"," ","96.11"," "
"2000/01","S92000003","d","18-24 years","Male","Total","d","2090"," ","954"," ","1400"," ","639.04"," "
"2000/01","S92000003","d","18-24 years","Female","Total","d","1220"," ","554.89"," ","850"," ","386.61"," "
"2000/01","S92000003","d","25-39 years","Male","Total","d","6470"," ","1191.98"," ","4130"," ","760.88"," "
"2000/01","S92000003","d","25-39 years","Female","Total","d","4640"," ","804.2"," ","2920"," ","506.09"," "
"2000/01","S92000003","d","40-64 years","Male","Total","d","7520"," ","962.57"," ","5050"," ","646.4"," "
"2000/01","S92000003","d","40-64 years","Female","Total","d","5510"," ","675.65"," ","3760"," ","461.06"," "
"2000/01","S92000003","d","65plus years","Male","Total","d","4740"," ","1472.83"," ","3140"," ","975.67"," "
"2000/01","S92000003","d","65plus years","Female","Total","d","7020"," ","1469.68"," ","4980"," ","1042.59"," "
"2001/02","S92000003","d","0-17 years","Male","Total","d","720"," ","128.1"," ","620"," ","110.31"," "
"2001/02","S92000003","d","0-17 years","Female","Total","d","620"," ","115.77"," ","530"," ","98.97"," "
"2001/02","S92000003","d","18-24 years","Male","Total","d","2020"," ","915.51"," ","1340"," ","607.32"," "
"2001/02","S92000003","d","18-24 years","Female","Total","d","1130"," ","514.22"," ","790"," ","359.5"," "
"2001/02","S92000003","d","25-39 years","Male","Total","d","6420"," ","1206.78"," ","4000"," ","751.89"," "
"2001/02","S92000003","d","25-39 years","Female","Total","d","4510"," ","794.91"," ","2880"," ","507.61"," "
"2001/02","S92000003","d","40-64 years","Male","Total","d","7400"," ","933.96"," ","5000"," ","631.06"," "
"2001/02","S92000003","d","40-64 years","Female","Total","d","5950"," ","719.17"," ","3920"," ","473.8"," "
"2001/02","S92000003","d","65plus years","Male","Total","d","4630"," ","1417.16"," ","3120"," ","954.98"," "
"2001/02","S92000003","d","65plus years","Female","Total","d","6670"," ","1388.22"," ","4740"," ","986.53"," "
"2002/03","S92000003","d","0-17 years","Male","Total","d","620"," ","111.44"," ","520"," ","93.46"," "
"2002/03","S92000003","d","0-17 years","Female","Total","d","580"," ","109.18"," ","500"," ","94.12"," "
"2002/03","S92000003","d","18-24 years","Male","Total","d","1800"," ","802.88"," ","1220"," ","544.17"," "
"2002/03","S92000003","d","18-24 years","Female","Total","d","1220"," ","546.84"," ","840"," ","376.51"," "
"2002/03","S92000003","d","25-39 years","Male","Total","d","6170"," ","1187.32"," ","3980"," ","765.89"," "
"2002/03","S92000003","d","25-39 years","Female","Total","d","4360"," ","785.49"," ","2790"," ","502.64"," "
"2002/03","S92000003","d","40-64 years","Male","Total","d","7450"," ","926.13"," ","5120"," ","636.48"," "
"2002/03","S92000003","d","40-64 years","Female","Total","d","5880"," ","700.75"," ","3960"," ","471.93"," "
"2002/03","S92000003","d","65plus years","Male","Total","d","4670"," ","1410.91"," ","3180"," ","960.75"," "
"2002/03","S92000003","d","65plus years","Female","Total","d","6550"," ","1359.28"," ","4720"," ","979.52"," "
"2003/04","S92000003","d","0-17 years","Male","Total","d","540"," ","98.28"," ","480"," ","87.36"," "
"2003/04","S92000003","d","0-17 years","Female","Total","d","540"," ","102.77"," ","460"," ","87.54"," "
"2003/04","S92000003","d","18-24 years","Male","Total","d","1780"," ","779.7"," ","1170"," ","512.5"," "
"2003/04","S92000003","d","18-24 years","Female","Total","d","1140"," ","501.91"," ","780"," ","343.41"," "
"2003/04","S92000003","d","25-39 years","Male","Total","d","5990"," ","1175.57"," ","3860"," ","757.54"," "
"2003/04","S92000003","d","25-39 years","Female","Total","d","4100"," ","755.68"," ","2670"," ","492.11"," "
"2003/04","S92000003","d","40-64 years","Male","Total","d","7580"," ","929.74"," ","5140"," ","630.46"," "
"2003/04","S92000003","d","40-64 years","Female","Total","d","5960"," ","699.32"," ","4090"," ","479.9"," "
"2003/04","S92000003","d","65plus years","Male","Total","d","4560"," ","1359.06"," ","3200"," ","953.73"," "
"2003/04","S92000003","d","65plus years","Female","Total","d","6800"," ","1407.85"," ","4710"," ","975.14"," "
"2004/05","S92000003","d","0-17 years","Male","Total","d","470"," ","86.24"," ","410"," ","75.23"," "
"2004/05","S92000003","d","0-17 years","Female","Total","d","450"," ","86.27"," ","390"," ","74.77"," "
"2004/05","S92000003","d","18-24 years","Male","Total","d","1780"," ","773.88"," ","1160"," ","504.32"," "
"2004/05","S92000003","d","18-24 years","Female","Total","d","1080"," ","468.25"," ","720"," ","312.16"," "
"2004/05","S92000003","d","25-39 years","Male","Total","d","5710"," ","1134.95"," ","3720"," ","739.41"," "
"2004/05","S92000003","d","25-39 years","Female","Total","d","4020"," ","753.29"," ","2560"," ","479.71"," "
"2004/05","S92000003","d","40-64 years","Male","Total","d","7740"," ","934.83"," ","5130"," ","619.59"," "
"2004/05","S92000003","d","40-64 years","Female","Total","d","5900"," ","680.49"," ","4010"," ","462.5"," "
"2004/05","S92000003","d","65plus years","Male","Total","d","4340"," ","1274.57"," ","3030"," ","889.85"," "
"2004/05","S92000003","d","65plus years","Female","Total","d","6080"," ","1254.24"," ","4440"," ","915.93"," "
"2005/06","S92000003","d","0-17 years","Male","Total","d","460"," ","84.86"," ","400"," ","73.79"," "
"2005/06","S92000003","d","0-17 years","Female","Total","d","450"," ","86.84"," ","360"," ","69.47"," "
"2005/06","S92000003","d","18-24 years","Male","Total","d","1510"," ","649.51"," ","990"," ","425.84"," "
"2005/06","S92000003","d","18-24 years","Female","Total","d","1040"," ","442.99"," ","700"," ","298.17"," "
"2005/06","S92000003","d","25-39 years","Male","Total","d","5460"," ","1093.24"," ","3540"," ","708.8"," "
"2005/06","S92000003","d","25-39 years","Female","Total","d","3580"," ","678.72"," ","2340"," ","443.63"," "
"2005/06","S92000003","d","40-64 years","Male","Total","d","7740"," ","919.45"," ","5180"," ","615.34"," "
"2005/06","S92000003","d","40-64 years","Female","Total","d","5850"," ","663.49"," ","3900"," ","442.33"," "
"2005/06","S92000003","d","65plus years","Male","Total","d","4130"," ","1195.35"," ","2950"," ","853.82"," "
"2005/06","S92000003","d","65plus years","Female","Total","d","5900"," ","1211.96"," ","4310"," ","885.35"," "
"2006/07","S92000003","d","0-17 years","Male","Total","d","460"," ","85.47"," ","410"," ","76.18"," "
"2006/07","S92000003","d","0-17 years","Female","Total","d","440"," ","85.49"," ","360"," ","69.95"," "
"2006/07","S92000003","d","18-24 years","Male","Total","d","1400"," ","595.75"," ","980"," ","417.02"," "
"2006/07","S92000003","d","18-24 years","Female","Total","d","1000"," ","421.82"," ","650"," ","274.18"," "
"2006/07","S92000003","d","25-39 years","Male","Total","d","5200"," ","1045.06"," ","3320"," ","667.23"," "
"2006/07","S92000003","d","25-39 years","Female","Total","d","3460"," ","661.8"," ","2210"," ","422.71"," "
"2006/07","S92000003","d","40-64 years","Male","Total","d","7980"," ","933.65"," ","5250"," ","614.24"," "
"2006/07","S92000003","d","40-64 years","Female","Total","d","5700"," ","636.74"," ","3840"," ","428.96"," "
"2006/07","S92000003","d","65plus years","Male","Total","d","4260"," ","1218.57"," ","3020"," ","863.87"," "
"2006/07","S92000003","d","65plus years","Female","Total","d","6060"," ","1241.33"," ","4260"," ","872.62"," "
"2007/08","S92000003","d","0-17 years","Male","Total","d","470"," ","87.27"," ","420"," ","77.98"," "
"2007/08","S92000003","d","0-17 years","Female","Total","d","490"," ","95.24"," ","420"," ","81.63"," "
"2007/08","S92000003","d","18-24 years","Male","Total","d","1430"," ","602.74"," ","1000"," ","421.5"," "
"2007/08","S92000003","d","18-24 years","Female","Total","d","1010"," ","423"," ","690"," ","288.98"," "
"2007/08","S92000003","d","25-39 years","Male","Total","d","5390"," ","1084.64"," ","3410"," ","686.2"," "
"2007/08","S92000003","d","25-39 years","Female","Total","d","3520"," ","675.68"," ","2270"," ","435.74"," "
"2007/08","S92000003","d","40-64 years","Male","Total","d","8410"," ","968.38"," ","5380"," ","619.49"," "
"2007/08","S92000003","d","40-64 years","Female","Total","d","5940"," ","653.81"," ","3910"," ","430.37"," "
"2007/08","S92000003","d","65plus years","Male","Total","d","4310"," ","1212.97"," ","3000"," ","844.3"," "
"2007/08","S92000003","d","65plus years","Female","Total","d","5620"," ","1145.3"," ","4040"," ","823.31"," "
"2008/09","S92000003","d","0-17 years","Male","Total","d","440"," ","81.8"," ","370"," ","68.79"," "
"2008/09","S92000003","d","0-17 years","Female","Total","d","450"," ","87.48"," ","370"," ","71.93"," "
"2008/09","S92000003","d","18-24 years","Male","Total","d","1290"," ","536.48"," ","910"," ","378.45"," "
"2008/09","S92000003","d","18-24 years","Female","Total","d","1030"," ","427.1"," ","710"," ","294.41"," "
"2008/09","S92000003","d","25-39 years","Male","Total","d","5360"," ","1081.76"," ","3390"," ","684.17"," "
"2008/09","S92000003","d","25-39 years","Female","Total","d","3470"," ","670.67"," ","2310"," ","446.47"," "
"2008/09","S92000003","d","40-64 years","Male","Total","d","8660"," ","985.38"," ","5590"," ","636.06"," "
"2008/09","S92000003","d","40-64 years","Female","Total","d","5880"," ","639.47"," ","4010"," ","436.1"," "
"2008/09","S92000003","d","65plus years","Male","Total","d","4360"," ","1202.36"," ","3090"," ","852.13"," "
"2008/09","S92000003","d","65plus years","Female","Total","d","5640"," ","1139.07"," ","4020"," ","811.89"," "
"2009/10","S92000003","d","0-17 years","Male","Total","d","410"," ","76.16"," ","340"," ","63.16"," "
"2009/10","S92000003","d","0-17 years","Female","Total","d","390"," ","75.82"," ","320"," ","62.21"," "
"2009/10","S92000003","d","18-24 years","Male","Total","d","1260"," ","519.87"," ","900"," ","371.33"," "
"2009/10","S92000003","d","18-24 years","Female","Total","d","980"," ","403.05"," ","700"," ","287.89"," "
"2009/10","S92000003","d","25-39 years","Male","Total","d","4750"," ","963.12"," ","3120"," ","632.62"," "
"2009/10","S92000003","d","25-39 years","Female","Total","d","3270"," ","636.48"," ","2140"," ","416.54"," "
"2009/10","S92000003","d","40-64 years","Male","Total","d","8200"," ","924.28"," ","5310"," ","598.53"," "
"2009/10","S92000003","d","40-64 years","Female","Total","d","5700"," ","613.59"," ","3850"," ","414.45"," "
"2009/10","S92000003","d","65plus years","Male","Total","d","4230"," ","1140.5"," ","2970"," ","800.77"," "
"2009/10","S92000003","d","65plus years","Female","Total","d","5510"," ","1102.7"," ","3900"," ","780.49"," "
"2010/11","S92000003","d","0-17 years","Male","Total","d","340"," ","63.56"," ","290"," ","54.21"," "
"2010/11","S92000003","d","0-17 years","Female","Total","d","430"," ","84.22"," ","330"," ","64.63"," "
"2010/11","S92000003","d","18-24 years","Male","Total","d","1230"," ","497.2"," ","880"," ","355.72"," "
"2010/11","S92000003","d","18-24 years","Female","Total","d","910"," ","365.65"," ","640"," ","257.16"," "
"2010/11","S92000003","d","25-39 years","Male","Total","d","4820"," ","978.11"," ","3100"," ","629.08"," "
"2010/11","S92000003","d","25-39 years","Female","Total","d","3340"," ","651.65"," ","2130"," ","415.57"," "
"2010/11","S92000003","d","40-64 years","Male","Total","d","8160"," ","911.87"," ","5160"," ","576.62"," "
"2010/11","S92000003","d","40-64 years","Female","Total","d","5360"," ","571.42"," ","3590"," ","382.73"," "
"2010/11","S92000003","d","65plus years","Male","Total","d","4590"," ","1213.55"," ","3060"," ","809.03"," "
"2010/11","S92000003","d","65plus years","Female","Total","d","5970"," ","1184.54"," ","4030"," ","799.62"," "
"2011/12","S92000003","d","0-17 years","Male","Total","d","350"," ","65.59"," ","300"," ","56.22"," "
"2011/12","S92000003","d","0-17 years","Female","Total","d","400"," ","78.67"," ","320"," ","62.94"," "
"2011/12","S92000003","d","18-24 years","Male","Total","d","1250"," ","496.1"," ","890"," ","353.23"," "
"2011/12","S92000003","d","18-24 years","Female","Total","d","890"," ","351.58"," ","630"," ","248.87"," "
"2011/12","S92000003","d","25-39 years","Male","Total","d","4880"," ","986.85"," ","3060"," ","618.8"," "
"2011/12","S92000003","d","25-39 years","Female","Total","d","3310"," ","646.82"," ","2100"," ","410.37"," "
"2011/12","S92000003","d","40-64 years","Male","Total","d","8700"," ","963.28"," ","5330"," ","590.15"," "
"2011/12","S92000003","d","40-64 years","Female","Total","d","5710"," ","602.98"," ","3720"," ","392.83"," "
"2011/12","S92000003","d","65plus years","Male","Total","d","4820"," ","1245.29"," ","3110"," ","803.5"," "
"2011/12","S92000003","d","65plus years","Female","Total","d","6290"," ","1235.01"," ","4070"," ","799.13"," "
"2012/13","S92000003","d","0-17 years","Male","Total","d","350"," ","65.83"," ","260"," ","48.9"," "
"2012/13","S92000003","d","0-17 years","Female","Total","d","500"," ","98.72"," ","380"," ","75.02"," "
"2012/13","S92000003","d","18-24 years","Male","Total","d","1220"," ","483.52"," ","850"," ","336.88"," "
"2012/13","S92000003","d","18-24 years","Female","Total","d","960"," ","379.85"," ","630"," ","249.28"," "
"2012/13","S92000003","d","25-39 years","Male","Total","d","4520"," ","918.06"," ","2860"," ","580.89"," "
"2012/13","S92000003","d","25-39 years","Female","Total","d","3090"," ","605.98"," ","2010"," ","394.18"," "
"2012/13","S92000003","d","40-64 years","Male","Total","d","8380"," ","933.21"," ","5280"," ","587.99"," "
"2012/13","S92000003","d","40-64 years","Female","Total","d","5710"," ","604.63"," ","3660"," ","387.55"," "
"2012/13","S92000003","d","65plus years","Male","Total","d","5020"," ","1245.75"," ","3220"," ","799.07"," "
"2012/13","S92000003","d","65plus years","Female","Total","d","6530"," ","1249.11"," ","4170"," ","797.67"," "
"2013/14","S92000003","d","0-17 years","Male","Total","d","370"," ","69.86"," ","290"," ","54.75"," "
"2013/14","S92000003","d","0-17 years","Female","Total","d","520"," ","102.92"," ","380"," ","75.21"," "
"2013/14","S92000003","d","18-24 years","Male","Total","d","1180"," ","470.29"," ","850"," ","338.77"," "
"2013/14","S92000003","d","18-24 years","Female","Total","d","1010"," ","404.3"," ","670"," ","268.2"," "
"2013/14","S92000003","d","25-39 years","Male","Total","d","4720"," ","953.13"," ","2940"," ","593.68"," "
"2013/14","S92000003","d","25-39 years","Female","Total","d","3030"," ","592.17"," ","1880"," ","367.42"," "
"2013/14","S92000003","d","40-64 years","Male","Total","d","8780"," ","980.32"," ","5420"," ","605.16"," "
"2013/14","S92000003","d","40-64 years","Female","Total","d","5910"," ","626.97"," ","3720"," ","394.64"," "
"2013/14","S92000003","d","65plus years","Male","Total","d","5350"," ","1288.33"," ","3290"," ","792.26"," "
"2013/14","S92000003","d","65plus years","Female","Total","d","6760"," ","1271.56"," ","4040"," ","759.93"," "
"2014/15","S92000003","d","0-17 years","Male","Total","d","350"," ","66.27"," ","280"," ","53.01"," "
"2014/15","S92000003","d","0-17 years","Female","Total","d","530"," ","105.05"," ","380"," ","75.32"," "
"2014/15","S92000003","d","18-24 years","Male","Total","d","1170"," ","469.73"," ","810"," ","325.2"," "
"2014/15","S92000003","d","18-24 years","Female","Total","d","1060"," ","428.26"," ","670"," ","270.7"," "
"2014/15","S92000003","d","25-39 years","Male","Total","d","4950"," ","990.79"," ","2930"," ","586.47"," "
"2014/15","S92000003","d","25-39 years","Female","Total","d","2970"," ","574.92"," ","1810"," ","350.37"," "
"2014/15","S92000003","d","40-64 years","Male","Total","d","9090"," ","1018.24"," ","5240"," ","586.97"," "
"2014/15","S92000003","d","40-64 years","Female","Total","d","5960"," ","633.4"," ","3590"," ","381.53"," "
"2014/15","S92000003","d","65plus years","Male","Total","d","5850"," ","1370.1"," ","3360"," ","786.93"," "
"2014/15","S92000003","d","65plus years","Female","Total","d","7530"," ","1390.65"," ","4290"," ","792.28"," "
"2015/16","S92000003","d","0-17 years","Male","Total","d","420"," ","79.63"," ","330"," ","62.57"," "
"2015/16","S92000003","d","0-17 years","Female","Total","d","520"," ","103.24"," ","370"," ","73.46"," "
"2015/16","S92000003","d","18-24 years","Male","Total","d","1330"," ","534.49"," ","900"," ","361.68"," "
"2015/16","S92000003","d","18-24 years","Female","Total","d","1060"," ","428.47"," ","680"," ","274.87"," "
"2015/16","S92000003","d","25-39 years","Male","Total","d","5020"," ","987.69"," ","2960"," ","582.38"," "
"2015/16","S92000003","d","25-39 years","Female","Total","d","3110"," ","593.89"," ","1850"," ","353.28"," "
"2015/16","S92000003","d","40-64 years","Male","Total","d","9870"," ","1108.66"," ","5420"," ","608.81"," "
"2015/16","S92000003","d","40-64 years","Female","Total","d","6400"," ","680.5"," ","3600"," ","382.78"," "
"2015/16","S92000003","d","65plus years","Male","Total","d","6700"," ","1537.82"," ","3640"," ","835.47"," "
"2015/16","S92000003","d","65plus years","Female","Total","d","7990"," ","1459.85"," ","4340"," ","792.96"," "
"2016/17","S92000003","d","0-17 years","Male","Total","d","420"," ","79.55"," ","330"," ","62.5"," "
"2016/17","S92000003","d","0-17 years","Female","Total","d","530"," ","105.2"," ","400"," ","79.4"," "
"2016/17","S92000003","d","18-24 years","Male","Total","d","1380"," ","559.78"," ","910"," ","369.13"," "
"2016/17","S92000003","d","18-24 years","Female","Total","d","1060"," ","432.98"," ","690"," ","281.84"," "
"2016/17","S92000003","d","25-39 years","Male","Total","d","5430"," ","1044.79"," ","3040"," ","584.93"," "
"2016/17","S92000003","d","25-39 years","Female","Total","d","3430"," ","642.24"," ","1960"," ","366.99"," "
"2016/17","S92000003","d","40-64 years","Male","Total","d","10020"," ","1127.21"," ","5350"," ","601.85"," "
"2016/17","S92000003","d","40-64 years","Female","Total","d","6530"," ","694.66"," ","3690"," ","392.54"," "
"2016/17","S92000003","d","65plus years","Male","Total","d","7070"," ","1591.07"," ","3690"," ","830.42"," "
"2016/17","S92000003","d","65plus years","Female","Total","d","8510"," ","1534.73"," ","4410"," ","795.32"," "
"2017/18","S92000003","d","0-17 years","Male","Total","d","470"," ","89.08"," ","360"," ","68.23"," "
"2017/18","S92000003","d","0-17 years","Female","Total","d","540"," ","107.47"," ","400"," ","79.61"," "
"2017/18","S92000003","d","18-24 years","Male","Total","d","1370"," ","564.89"," ","880"," ","362.85"," "
"2017/18","S92000003","d","18-24 years","Female","Total","d","1170"," ","491.14"," ","710"," ","298.04"," "
"2017/18","S92000003","d","25-39 years","Male","Total","d","5390"," ","1014.89"," ","3030"," ","570.52"," "
"2017/18","S92000003","d","25-39 years","Female","Total","d","3400"," ","623.52"," ","1970"," ","361.28"," "
"2017/18","S92000003","d","40-64 years","Male","Total","d","10210"," ","1151.26"," ","5360"," ","604.38"," "
"2017/18","S92000003","d","40-64 years","Female","Total","d","6420"," ","684.29"," ","3560"," ","379.45"," "
"2017/18","S92000003","d","65plus years","Male","Total","d","7940"," ","1755.78"," ","3950"," ","873.47"," "
"2017/18","S92000003","d","65plus years","Female","Total","d","9860"," ","1759.63"," ","4760"," ","849.48"," "
"2018/19","S92000003","d","0-17 years","Male","Total","d","450"," ","85.41"," ","340"," ","64.53"," "
"2018/19","S92000003","d","0-17 years","Female","Total","d","700"," ","139.46"," ","440"," ","87.66"," "
"2018/19","S92000003","d","18-24 years","Male","Total","d","1440"," ","601.19"," ","890"," ","371.57"," "
"2018/19","S92000003","d","18-24 years","Female","Total","d","1370"," ","588.98"," ","740"," ","318.14"," "
"2018/19","S92000003","d","25-39 years","Male","Total","d","5690"," ","1055.22"," ","3150"," ","584.17"," "
"2018/19","S92000003","d","25-39 years","Female","Total","d","3870"," ","700.61"," ","2050"," ","371.13"," "
"2018/19","S92000003","d","40-64 years","Male","Total","d","10440"," ","1181.93"," ","5330"," ","603.42"," "
"2018/19","S92000003","d","40-64 years","Female","Total","d","6750"," ","721.03"," ","3590"," ","383.48"," "
"2018/19","S92000003","d","65plus years","Male","Total","d","7790"," ","1694.05"," ","3890"," ","845.94"," "
"2018/19","S92000003","d","65plus years","Female","Total","d","10340"," ","1825.99"," ","4920"," ","868.85"," "
"2019/20","S92000003","d","0-17 years","Male","Total","d","520"," ","98.57"," ","330"," ","62.56"," "
"2019/20","S92000003","d","0-17 years","Female","Total","d","770"," ","153.5"," ","480"," ","95.69"," "
"2019/20","S92000003","d","18-24 years","Male","Total","d","1360"," ","575.1"," ","880"," ","372.13"," "
"2019/20","S92000003","d","18-24 years","Female","Total","d","1490"," ","649.3"," ","850"," ","370.41"," "
"2019/20","S92000003","d","25-39 years","Male","Total","d","6180"," ","1131.03"," ","3290"," ","602.12"," "
"2019/20","S92000003","d","25-39 years","Female","Total","d","3830"," ","686.58"," ","2060"," ","369.28"," "
"2019/20","S92000003","d","40-64 years","Male","Total","d","11750"," ","1330.44"," ","5570"," ","630.68"," "
"2019/20","S92000003","d","40-64 years","Female","Total","d","7090"," ","756.97"," ","3730"," ","398.24"," "
"2019/20","S92000003","d","65plus years","Male","Total","d","8580"," ","1827.76"," ","4020"," ","856.37"," "
"2019/20","S92000003","d","65plus years","Female","Total","d","10940"," ","1903.54"," ","4830"," ","840.41"," "
"2020/21","S92000003","d","0-17 years","Male","Total","d","350"," ","66.47"," ","290"," ","55.07"," "
"2020/21","S92000003","d","0-17 years","Female","Total","d","840"," ","167.88"," ","540"," ","107.92"," "
"2020/21","S92000003","d","18-24 years","Male","Total","d","1380"," ","595.8"," ","830"," ","358.34"," "
"2020/21","S92000003","d","18-24 years","Female","Total","d","1340"," ","595.24"," ","740"," ","328.71"," "
"2020/21","S92000003","d","25-39 years","Male","Total","d","5820"," ","1060.39"," ","2930"," ","533.84"," "
"2020/21","S92000003","d","25-39 years","Female","Total","d","3580"," ","641.48"," ","1880"," ","336.87"," "
"2020/21","S92000003","d","40-64 years","Male","Total","d","10990"," ","1245.51"," ","5080"," ","575.72"," "
"2020/21","S92000003","d","40-64 years","Female","Total","d","6550"," ","699.08"," ","3290"," ","351.14"," "
"2020/21","S92000003","d","65plus years","Male","Total","d","8580"," ","1803.27"," ","3720"," ","781.84"," "
"2020/21","S92000003","d","65plus years","Female","Total","d","10380"," ","1788.79"," ","4320"," ","744.47"," "
"2021/22","S92000003","d","0-17 years","Male","Total","d","320"," ","60.89"," ","250"," ","47.57"," "
"2021/22","S92000003","d","0-17 years","Female","Total","d","720"," ","144.15"," ","470"," ","94.1"," "
"2021/22","S92000003","d","18-24 years","Male","Total","d","1160"," ","514.46"," ","740"," ","328.19"," "
"2021/22","S92000003","d","18-24 years","Female","Total","d","1380"," ","630.49"," ","780"," ","356.37"," "
"2021/22","S92000003","d","25-39 years","Male","Total","d","5540"," ","1000.78"," ","2770"," ","500.39"," "
"2021/22","S92000003","d","25-39 years","Female","Total","d","3430"," ","612"," ","1840"," ","328.3"," "
"2021/22","S92000003","d","40-64 years","Male","Total","d","10660"," ","1206.9"," ","4980"," ","563.82"," "
"2021/22","S92000003","d","40-64 years","Female","Total","d","6530"," ","695.11"," ","3320"," ","353.41"," "
"2021/22","S92000003","d","65plus years","Male","Total","d","8990"," ","1854.6"," ","3860"," ","796.3"," "
"2021/22","S92000003","d","65plus years","Female","Total","d","10940"," ","1857.01"," ","4660"," ","791.01"," "
"1997/98","S08000015"," ","0-17 years","Male","Total","d","100"," ","232.36"," ","100"," ","232.36"," "
"1997/98","S08000015"," ","0-17 years","Female","Total","d","80"," ","191.81"," ","80"," ","191.81"," "
"1997/98","S08000015"," ","18-24 years","Male","Total","d","180"," ","1221"," ","120"," ","814"," "
"1997/98","S08000015"," ","18-24 years","Female","Total","d","90"," ","628.45"," ","70"," ","488.79"," "
"1997/98","S08000015"," ","25-39 years","Male","Total","d","480"," ","1236.16"," ","320"," ","824.11"," "
"1997/98","S08000015"," ","25-39 years","Female","Total","d","440"," ","1050.37"," ","260"," ","620.67"," "
"1997/98","S08000015"," ","40-64 years","Male","Total","d","640"," ","1125.83"," ","440"," ","774.01"," "
"1997/98","S08000015"," ","40-64 years","Female","Total","d","430"," ","713.02"," ","290"," ","480.87"," "
"1997/98","S08000015"," ","65plus years","Male","Total","d","470"," ","1934.08"," ","300"," ","1234.52"," "
"1997/98","S08000015"," ","65plus years","Female","Total","d","620"," ","1686.25"," ","430"," ","1169.5"," "
"1997/98","S08000016"," ","0-17 years","Male","Total","d","20"," ","174.63"," ","20"," ","174.63"," "
"1997/98","S08000016"," ","0-17 years","Female","Total","d","20"," ","178.76"," ","20"," ","178.76"," "
"1997/98","S08000016"," ","18-24 years","Male","Total","d","40"," ","1122.65"," ","20"," ","561.32"," "
"1997/98","S08000016"," ","18-24 years","Female","Total","d","20"," ","566.89"," ","10"," ","283.45"," "
