"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"2005/06","S92000003","d",3,"SMR04"," ","4610"," ","449.03"," ","3290"," ","320.45"," ","1040"," ","101.3"," "
"2005/06","S92000003","d",4,"SMR04"," ","3480"," ","339.72"," ","2520"," ","246"," ","790"," ","77.12"," "
"2005/06","S92000003","d",5,"SMR04"," ","2480"," ","245.11"," ","1770"," ","174.93"," ","570"," ","56.33"," "
"2006/07","S92000003","d",1,"SMR04"," ","8250"," ","805.45"," ","5780"," ","564.31"," ","1330"," ","129.85"," "
"2006/07","S92000003","d",2,"SMR04"," ","5820"," ","564.91"," ","4110"," ","398.93"," ","1130"," ","109.68"," "
"2006/07","S92000003","d",3,"SMR04"," ","4580"," ","443.07"," ","3260"," ","315.37"," ","980"," ","94.8"," "
"2006/07","S92000003","d",4,"SMR04"," ","3220"," ","312"," ","2320"," ","224.8"," ","810"," ","78.49"," "
"2006/07","S92000003","d",5,"SMR04"," ","2340"," ","231.04"," ","1740"," ","171.8"," ","530"," ","52.33"," "
"2007/08","S92000003","d",1,"SMR04"," ","8010"," ","767.41"," ","5620"," ","538.43"," ","1220"," ","116.88"," "
"2007/08","S92000003","d",2,"SMR04"," ","5900"," ","567.34"," ","4140"," ","398.1"," ","1030"," ","99.04"," "
"2007/08","S92000003","d",3,"SMR04"," ","4130"," ","398.32"," ","3040"," ","293.19"," ","970"," ","93.55"," "
"2007/08","S92000003","d",4,"SMR04"," ","3220"," ","312.41"," ","2350"," ","228"," ","740"," ","71.8"," "
"2007/08","S92000003","d",5,"SMR04"," ","2210"," ","216.94"," ","1680"," ","164.91"," ","480"," ","47.12"," "
"2008/09","S92000003","d",1,"SMR04"," ","8100"," ","772"," ","5900"," ","562.32"," ","1190"," ","113.42"," "
"2008/09","S92000003","d",2,"SMR04"," ","5840"," ","558.1"," ","4220"," ","403.29"," ","1010"," ","96.52"," "
"2008/09","S92000003","d",3,"SMR04"," ","4070"," ","388.72"," ","3140"," ","299.9"," ","870"," ","83.09"," "
"2008/09","S92000003","d",4,"SMR04"," ","3090"," ","296.78"," ","2360"," ","226.67"," ","640"," ","61.47"," "
"2008/09","S92000003","d",5,"SMR04"," ","2060"," ","202.14"," ","1600"," ","157.01"," ","460"," ","45.14"," "
"2009/10","S92000003","d",1,"SMR04"," ","7550"," ","717.69"," ","5440"," ","517.12"," ","1100"," ","104.56"," "
"2009/10","S92000003","d",2,"SMR04"," ","5360"," ","509.08"," ","3960"," ","376.11"," ","930"," ","88.33"," "
"2009/10","S92000003","d",3,"SMR04"," ","3780"," ","358.52"," ","2810"," ","266.52"," ","880"," ","83.47"," "
"2009/10","S92000003","d",4,"SMR04"," ","2980"," ","283.62"," ","2300"," ","218.9"," ","660"," ","62.82"," "
"2009/10","S92000003","d",5,"SMR04"," ","2150"," ","210.37"," ","1630"," ","159.49"," ","460"," ","45.01"," "
"2010/11","S92000003","d",1,"SMR04"," ","7250"," ","675.11"," ","5190"," ","483.29"," ","1070"," ","99.64"," "
"2010/11","S92000003","d",2,"SMR04"," ","5220"," ","493"," ","3840"," ","362.67"," ","960"," ","90.67"," "
